K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
016897463	009839151		
016902181	025014811		
016948718	008698872		
016959353	00999193X		
016965973	104943521		
016966740	459742302		
016974336	005418011		
016978943	10859730X		
016985664	010276343		
016999789	008904987		
01700151X	459572547		
01701963X	008698945		
017020514	01070809X		
017036151	006098819		
017048222	008465967		
017059178	010858458		
017066433	005956447		
017070333	010727523		
01708170X	459568507		
017088771	010104097		
01708881X	010709304		
017089263	010562567		
01708928X	010734805		
017089298	010515844		
017109884	010825789		
017117097	011163739		
017125278	010968229		
017129494	082665680		
017134404	006982891		
017134781	011107464		
017137659	011218711		
017139260	011252332		
01716334X	008465916		
017163684	008533911		
017172152	012368393		
017182352	011650001		
017182662	011391170		
017187141	011594888		
017197414	011786345		
017216036	012486388		
017227674	01155620X		
017235693	011594918		
017235987	011819200		
017237203	011724161		
017238005	012214574		
017238013	011967277		
017241057	012079340		
017246148	012177792		
017246172	179859552		
017247950	010931910		
017248256	011553030		
01725082X	013026852		
017252857	011251964		
01725812X	012462462		
017258138	011708255		
017258642	011802200		
017265924	012125652		
017269350	012214582		
017277981	012609129		
017284627	459917633		
017290600	459741640		
01729391X	009975691		
017303737	012579157		
017312639	011373733		
017312809	012308404		
017314518	011818972		
017317711	012875619		
017325455	012909726		
017326036	45963058X		
017331056	025941380		
017351332	013210815		
017355052	011219041		
017363489	009689486		
017365120	472278916		
017365147	013257382		
01738513X	016296524		
017393442	022078568		
017394538	023981571		
017394554	080117988		
017398983	028848586		
017403480	035078766		
017403723	026403900		
01741217X	053903498		
017412714	061328871		
01741816X	080570925		
017431441	024841366		
017431468	080454860		
017435706	08014022X		
017436583	029890829		
017437830	079559514		
017444802	080342612		
017445140	080378625		
017535573	029314003		
017555906	035351330		
017558735	081517106		
01756655X	081338392		
017568404	081519176		
017573300	021734739		
01757417X	448485354		
017586704	459711350		
017599873	057129266		
017605490	00821249X		
017606713	00455230X		
01761659X	026907879		
017624274	081819005		
017627893	081829272		
017632757	035546026		
01763461X	028294610		
017640768	052411354		
017641691	081731205		
017642728	019768001		
017644968	030327679		
017646499	081527365		
017647347	081695241		
017648998	247040886		
01765257X	107524783		
017657601	12249721X		
017658772	034365737		
01765985X	100156894		
017660939	08014652X		
017664411	049530941		
017667461	081855826		
017672015	081752377		
017673356	02527399X		
017673852	459733761		
017673860	459733753		
01767963X	081852746		
017683033	054569036		
017685427	01928375X		
017692113	380323761		
017692210	035546239		
017692229	035546271		
017696615	054018846		
017698278	00479141X		
017698359	044678991		
017698480	076370461		
017700337	053724062		
017701783	034468129		
01771916X	033419124		
017724104	062808737		
017734622	021734607		
017750946	004438981		
017750962	035569182		
017773466	004259521		
017773598	05208793X		
017784212	00997802X		
017805368	004021452		
017805775	004389174		
017814162	004069706		
017823994	006404197		
01782771X	032832583		
