k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
012205656	021465193	600417601X	1083100343	HEB1083100343
012205656	021465193	6004176028	1083100351	HEB1083100351
012232548	080226477	600449948X	1082823953	HEB1082823953
012262544	079887481	6004498645	1082798886	HEB1082798886
012275891	030825601	6004215422	1082782769	HEB1082782769
012300608	055556760	6004462217	1083103318	HEB1083103318
012303755	029988764	6004211478	1082724734	HEB1082724734
012303755	029988764	6004211486	1121542581	HEB1121542581
012304689	019855540	6004163961	1083116916	HEB1083116916
01231319X	08034349X	6004499927	1083103709	HEB1083103709
012313203	058370943	6004473553	1082942367	HEB1082942367
012314838	035085460	6004232424	1083101218	HEB1083101218
012318094	080222129	6004499412	1082861200	HEB1082861200
012321907	035086300	6004232440	1083101285	HEB1083101285
012342483	080221327	6004499404	108284084X	HEB108284084X
012342939	080165281	6004499226	1083101358	HEB1083101358
012349720	029901251	6004211001	1082792012	HEB1082792012
012374008	024540021	6004192430	1082789364	HEB1082789364
012375047	035086238	6004232432	1083101366	HEB1083101366
012392448	080451411	6004500100	1082814296	HEB1082814296
012393843	080149499	6004499188	1082724432	HEB1082724432
012404020	034097767	6004228567	1083192256	HEB1083192256
012405884	080454615	6004500143	1082914002	HEB1082914002
012407437	021118205	6004172812	1082832995	HEB1082832995
012443956	073343889	6004490008	1083064037	HEB1083064037
012487996	035605227	6004235016	1082790109	HEB1082790109
012494488	080461859	6004500186	1082834297	HEB1082834297
012494488	080461859	6004500194	1082834300	HEB1082834300
012508993	030923727	6004215953	1082833991	HEB1082833991
012524255	028786351	6004206407	108280648X	HEB108280648X
012535451	08057257X	6004500569	1082796204	HEB1082796204
012537691	081528949	6004502650	1082824402	HEB1082824402
012537691	081528949	6004502669	1082824410	HEB1082824410
01254194X	08025067X	6004499625	1082824690	HEB1082824690
01254194X	08025067X	6004499633	1082824704	HEB1082824704
012564052	02042938X	6004168122	1243475579	HEB1243475579
012624063	080567762	6004500518	1082792578	HEB1082792578
012638749	02503457X	6004194182	1083194798	HEB1083194798
012651443	459735829	6004558354	1082900958	HEB1082900958
012716642	459738763	600455958X	1082904236	HEB1082904236
012716650	459738275	6004559296	108290371X	HEB108290371X
012756644	035344407	6004233447	1083103520	HEB1083103520
012762504	459741683	6004560774	1082907448	HEB1082907448
012798231	004582152	6004251291	1082824623	HEB1082824623
01280181X	035087021	6004232483	1083103652	HEB1083103652
01280181X	035087021	6004232491	1083103660	HEB1083103660
012805556	035521015	6004234346	1082827010	HEB1082827010
012808458	023619201	6004190136	1083103539	HEB1083103539
012811947	079639690	600449786X	1082796298	HEB1082796298
012816442	106792547	6004096792	1082941980	HEB1082941980
012819255	459616625	600429540X	1082708305	HEB1082708305
012823732	026518368	6004197378	1082722383	HEB1082722383
012825948	02501465X	6004194085	1082828424	HEB1082828424
012826081	055561640	6004462365	1082855022	HEB1082855022
012830739	024912131	6004193801	1083061453	HEB1083061453
012830739	024912131	600419381X	1083061461	HEB1083061461
01283615X	03036924X	6004213322	1083103636	HEB1083103636
012845973	01967032X	6004162051	1083103563	HEB1083103563
012858293	020796986	6004170410	108282030X	HEB108282030X
012881163	45992530X	6004374423	1083128868	HEB1083128868
012906492	035085398	6004232408	1083101099	HEB1083101099
01291505X	022845364	6004186341	1082816299	HEB1082816299
012920258	459903136	6004364282	1083104071	HEB1083104071
012951730	059669578	6004477540	1083108611	HEB1083108611
012958247	032758200	6004223670	1082858072	HEB1082858072
012961493	034365028	6004229407	1082942324	HEB1082942324
013239279	074783106	6004491888	1083140043	HEB1083140043
013268961	004263006	6004245321	108295697X	HEB108295697X
013294067	459695207	6004313076	1082854468	HEB1082854468
013294067	459695207	6004313084	1082854476	HEB1082854476
013329235	001404563	6004136697	1082853089	HEB1082853089
013464469	004323351	6004246360	1082846090	HEB1082846090
013478583	058806504	6004474622	1082720143	HEB1082720143
013588419	00543887X	6004458090	1082845884	HEB1082845884
013624725	005809851	6004472581	1082853976	HEB1082853976
013642685	007628749	6004494542	1082779903	HEB1082779903
013789341	080391672	6004500003	1082824801	HEB1082824801
013804227	018272142	6004150339	1082831832	HEB1082831832
013808079	035486570	6004234087	1083116983	HEB1083116983
013842625	029346746	6004209651	1082786632	HEB1082786632
013893807	029597404	6004210358	1083107194	HEB1083107194
013897969	075134527	6004492949	1082851949	HEB1082851949
013902903	06131272X	6004482226	1083107798	HEB1083107798
013978292	05894351X	6004474975	1082853844	HEB1082853844
013978292	05894351X	6004474983	1082853852	HEB1082853852
014005190	081691556	6004503096	1082942545	HEB1082942545
014031582	214638901	6004176001	1082852554	HEB1082852554
014120992	034820345	6004231029	1082958999	HEB1082958999
014120992	034820345	6004231037	1082959006	HEB1082959006
01418009X	018192637	6004149462	1082831875	HEB1082831875
014370743	081208340	6004501956	108281606X	HEB108281606X
01441810X	072983507	6004489484	1083092782	HEB1083092782
014574969	016785290	6004140791	1082986577	HEB1082986577
014584778	459695819	6004546313	1082855219	HEB1082855219
014658089	019804113	6004163457	1082818135	HEB1082818135
014658089	019804113	6004163465	1082818143	HEB1082818143
014904209	028222539	6004204307	1082779210	HEB1082779210
014909626	076314707	6004494550	1082796891	HEB1082796891
014948001	006696503	6004485659	1082821977	HEB1082821977
014948001	006696503	6004485667	1082821985	HEB1082821985
014976110	024097993	6004191388	1082837741	HEB1082837741
01498086X	459738585	600455944X	1082904058	HEB1082904058
015009459	025546708	6004194956	1083103601	HEB1083103601
015028038	080924301	6004501441	108282366X	HEB108282366X
015028046	028426932	6004205311	1082781754	HEB1082781754
015031756	134785649	6004133604	1082691771	HEB1082691771
015042006	459761595	6004569100	1082931233	HEB1082931233
015077403	080364160	6004499943	1082855936	HEB1082855936
015086429	081162561	6004501832	1082852716	HEB1082852716
015103536	031060455	6004216844	1082817821	HEB1082817821
015111814	035291222	6004233099	1082787671	HEB1082787671
015151190	459668633	6004308161	108282383X	HEB108282383X
015156370	081058543	6004501646	1082830879	HEB1082830879
015160947	035078448	6004232319	1083096672	HEB1083096672
015166864	035351411	6004233552	108290838X	HEB108290838X
015167496	459901354	6004363375	1083102036	HEB1083102036
015176436	020405510	6004167878	1082823236	HEB1082823236
015178765	459738283	600455930X	1082903728	HEB1082903728
015183548	073760129	6004490245	108289981X	HEB108289981X
015185990	034423710	6004229725	1082722138	HEB1082722138
015188760	081252455	6004502014	1082974323	HEB1082974323
015196542	080387705	6004499994	1082806196	HEB1082806196
015214591	026398303	6004196797	1082956724	HEB1082956724
015266001	105101915	6004093580	1082862428	HEB1082862428
015266761	459897047	6004361259	1083097024	HEB1083097024
015275604	052074013	6004450723	1082861235	HEB1082861235
015276392	021018367	6004171867	108282898X	HEB108282898X
015277550	459906860	6004366374	1083108298	HEB1083108298
015277550	459906860	6004366382	1083108301	HEB1083108301
015277550	459906860	6004366390	108310831X	HEB108310831X
015288269	073761370	6004490253	1083109057	HEB1083109057
015299589	073755141	6004490237	1083109065	HEB1083109065
015308731	00616966X	6004483346	1082826014	HEB1082826014
015308731	00616966X	6004483354	1082826022	HEB1082826022
015316580	081608470	6004502847	1082816574	HEB1082816574
015324451	035433647	6004233927	1083107674	HEB1083107674
015327841	081588631	6004502804	1082818429	HEB1082818429
015328953	035344490	6004233463	1083107267	HEB1083107267
015328961	035351292	6004233528	1083107240	HEB1083107240
01532897X	035433604	6004233919	1083107666	HEB1083107666
015334996	081730756	6004503258	1082855421	HEB1082855421
015338649	023222107	6004188662	1083061593	HEB1083061593
015357856	008336458	6004505803	1083137131	HEB1083137131
015370186	006098568	6004481203	1082783145	HEB1082783145
015375730	003297292	6004224413	1082782017	HEB1082782017
015378268	050241931	6004437328	1082836060	HEB1082836060
015378268	050241931	6004437336	1082836079	HEB1082836079
015379167	010326979	6004090514	1082797421	HEB1082797421
015382338	009046003	6004511900	1082946567	HEB1082946567
